Mod:Item:MetaData, Localized Name
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon Wood
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple Wood
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark Wood
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
harvestcraft:pambroccoliCrop, Broccoli Crop
harvestcraft:pamcauliflowerCrop, Cauliflower Crop
harvestcraft:pamleekCrop, Leek Crop
harvestcraft:pamlettuceCrop, Lettuce Crop
harvestcraft:pamscallionCrop, Scallion Crop
harvestcraft:pamartichokeCrop, Artichoke Crop
harvestcraft:pambrusselsproutCrop, Brussel Sprout Crop
harvestcraft:pamcabbageCrop, Cabbage Crop
harvestcraft:pamspinachCrop, Spinach Crop
harvestcraft:pamwhitemushroomCrop, White Mushroom Crop
harvestcraft:pambeanCrop, Bean Crop
harvestcraft:pamsoybeanCrop, Soybean Crop
harvestcraft:pambellpepperCrop, Bell Pepper Crop
harvestcraft:pamchilipepperCrop, Chili Pepper Crop
harvestcraft:pameggplantCrop, Eggplant Crop
harvestcraft:pamokraCrop, Okra Crop
harvestcraft:pampeasCrop, Peas Crop
harvestcraft:pamtomatoCrop, Tomato Crop
harvestcraft:pamcottonCrop, Cotton Crop
harvestcraft:pampineappleCrop, Pineapple Crop
harvestcraft:pamgrapeCrop, Grape Crop
harvestcraft:pamkiwiCrop, Kiwi Crop
harvestcraft:pamcranberryCrop, Cranberry Crop
harvestcraft:pamriceCrop, Rice Crop
harvestcraft:pamseaweedCrop, Seaweed Crop
harvestcraft:pamcurryleafCrop, Curry Leaf Crop
harvestcraft:pamsesameseedsCrop, Sesame Seeds Crop
harvestcraft:pamwaterchestnutCrop, Water Chestnut Crop
harvestcraft:pamcandleDeco1, White Candle
harvestcraft:pamcandleDeco2, Orange Candle
harvestcraft:pamcandleDeco3, Magenta Candle
harvestcraft:pamcandleDeco4, Light Blue Candle
harvestcraft:pamcandleDeco5, Yellow Candle
harvestcraft:pamcandleDeco6, Lime Candle
harvestcraft:pamcandleDeco7, Pink Candle
harvestcraft:pamcandleDeco8, Dark Grey Candle
harvestcraft:pamcandleDeco9, Light Grey Candle
harvestcraft:pamcandleDeco10, Cyan Candle
harvestcraft:pamcandleDeco11, Purple Candle
harvestcraft:pamcandleDeco12, Blue Candle
harvestcraft:pamcandleDeco13, Brown Candle
harvestcraft:pamcandleDeco14, Green Candle
harvestcraft:pamcandleDeco15, Red Candle
harvestcraft:pamcandleDeco16, Black Candle
harvestcraft:pamcarrotCake, Carrot Cake
harvestcraft:pamcheeseCake, Cheese Cake
harvestcraft:pamcherrycheeseCake, Cherry Cheese Cake
harvestcraft:pampineappleupsidedownCake, Pineapple Upside Down Cake
harvestcraft:pamchocolatesprinkleCake, Chocolate Sprinkles Cake
harvestcraft:pamredvelvetCake, Red Velvet Cake
harvestcraft:pamlamingtonCake, Lamington
harvestcraft:pampavlovaCake, Pavlova
harvestcraft:pamholidayCake, Holiday Cake
harvestcraft:pampumpkincheeseCake, Pumpkin Cheese Cake
PracticalLogistics:Hammer, Forging Hammer
PracticalLogistics:Hammer_Air, Forging Hammer
PracticalLogistics:SapphireOre, Sapphire Ore
PracticalLogistics:DisplayScreen, tile.DisplayScreen.name
PracticalLogistics:DataCable, Data Cable
PracticalLogistics:MultiCable, Channelled Cable
PracticalLogistics:Node, Node
PracticalLogistics:EntityNode, Entity Node
PracticalLogistics:InfoReader, Info Reader
PracticalLogistics:InventoryReader, Inventory Reader
PracticalLogistics:FluidReader, Fluid Reader
PracticalLogistics:EnergyReader, Energy Reader
PracticalLogistics:DataReceiver, Data Receiver
PracticalLogistics:DataEmitter, Data Emitter
PracticalLogistics:RedstoneSignaller_ON, Redstone Signaller
PracticalLogistics:RedstoneSignaller_OFF, Redstone Signaller
PracticalLogistics:Clock, Clock
PracticalLogistics:DataModifier, Data Modifier
PracticalLogistics:InfoCreator, Info Creator
PracticalLogistics:ChannelSelector, Channel Selector
PracticalLogistics:TransceiverArray, Transceiver Array
PracticalLogistics:HolographicDisplay, Holographic Display
PracticalLogistics:LargeDisplayScreen, Large Display Screen
PracticalLogistics:ItemRouter, Item Router
ProjectE:interdiction_torch, Interdiction Torch
ProjectE:condenser_mk2, Energy Condenser MK2
ProjectE:rm_furnace_lit, Red Matter Furnace
ProjectE:dm_furnace_lit, Dark Matter Furnace
ProjectE:dm_pedestal, Dark Matter Pedestal
ProjectE:nova_catalyst, Nova Catalyst
ProjectE:nova_cataclysm, Nova Cataclysm
ProjectE:alchemical_chest, Alchemical Chest
ProjectE:transmutation_table, Transmutation Table
ProjectE:condenser_mk1, Energy Condenser
ProjectE:rm_furnace, Red Matter Furnace
ProjectE:dm_furnace, Dark Matter Furnace
ProjectE:matter_block:0, Dark Matter Block
ProjectE:matter_block:1, Red Matter Block
ProjectE:fuel_block:0, Alchemical Coal Block
ProjectE:fuel_block:1, Mobius Fuel Block
ProjectE:fuel_block:2, Aeternalis Fuel Block
ProjectE:collector_mk1, Energy Collector MK1
ProjectE:collector_mk2, Energy Collector MK2
ProjectE:collector_mk3, Energy Collector MK3
ProjectE:relay_mk1, Anti-Matter Relay MK1
ProjectE:relay_mk2, Anti-Matter Relay MK2
ProjectE:relay_mk3, Anti-Matter Relay MK3
ReactorCraft:reactorcraft_block_reactor, tile.Reactor.name
ReactorCraft:reactorcraft_block_mats:0, Concrete
ReactorCraft:reactorcraft_block_mats:1, Corium
ReactorCraft:reactorcraft_block_mats:2, Calcite Block
ReactorCraft:reactorcraft_block_mats:3, Steam Scrubber
ReactorCraft:reactorcraft_block_mats:4, Lodestone Block
ReactorCraft:reactorcraft_block_mats:5, Graphite Block
ReactorCraft:reactorcraft_block_coriumflowing, tile.MoltenCorium(Flowing).name
ReactorCraft:reactorcraft_block_modelreactor, tile.ReactorModelled.name
ReactorCraft:reactorcraft_block_machine, tile.Machine.name
ReactorCraft:reactorcraft_block_modelmachine, tile.MachineModelled.name
ReactorCraft:reactorcraft_block_ore:1, Pitchblende
ReactorCraft:reactorcraft_block_ore:2, Cadmium Ore
ReactorCraft:reactorcraft_block_ore:3, Indium Ore
ReactorCraft:reactorcraft_block_ore:4, Silver Ore
ReactorCraft:reactorcraft_block_ore:5, Pitchblende
ReactorCraft:reactorcraft_block_ore:6, Ammonium Chloride
ReactorCraft:reactorcraft_block_ore:7, Calcite
ReactorCraft:reactorcraft_block_ore:8, Magnetite Ore
ReactorCraft:reactorcraft_block_ore:9, Thorite
ReactorCraft:reactorcraft_block_fluorite:0, Blue Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:1, Pink Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:2, Orange Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:3, Magenta Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:4, Green Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:5, Red Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:6, White Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:7, Yellow Fluorite Block
ReactorCraft:reactorcraft_block_fluoriteore:0, Blue Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:1, Pink Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:2, Orange Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:3, Magenta Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:4, Green Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:5, Red Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:6, White Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:7, Yellow Fluorite
ReactorCraft:reactorcraft_block_steam, tile.Steam.name
ReactorCraft:reactorcraft_block_duct, tile.Duct.name
ReactorCraft:reactorcraft_block_line, tile.Line.name
ReactorCraft:reactorcraft_block_injectormulti:0, Plasma Injector Base
ReactorCraft:reactorcraft_block_injectormulti:1, Plasma Injector Lower Corner
ReactorCraft:reactorcraft_block_injectormulti:2, Plasma Injector Side Panel
ReactorCraft:reactorcraft_block_injectormulti:3, Plasma Injector Top
ReactorCraft:reactorcraft_block_injectormulti:4, Plasma Injector Upper Corner
ReactorCraft:reactorcraft_block_injectormulti:5, Plasma Injector Induction Coil
ReactorCraft:reactorcraft_block_injectormulti:6, Plasma Injector Column Piece
ReactorCraft:reactorcraft_block_injectormulti:7, Plasma Injector Hysteresis Core
ReactorCraft:reactorcraft_block_heatermulti:0, Laser Concentration Lens
ReactorCraft:reactorcraft_block_heatermulti:1, Thermal Insulation Core
ReactorCraft:reactorcraft_block_heatermulti:2, Preheater Unit Housing Corner
ReactorCraft:reactorcraft_block_heatermulti:3, Preheater Unit Housing Edge
ReactorCraft:reactorcraft_block_heatermulti:4, Preheater Unit Housing Face
ReactorCraft:reactorcraft_block_solenoidmulti:0, Ferromagnetic Base
ReactorCraft:reactorcraft_block_solenoidmulti:1, Magnetic Linkage
ReactorCraft:reactorcraft_block_solenoidmulti:2, Central Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:3, Auxiliary Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:4, Hysteresis Rod
ReactorCraft:reactorcraft_block_solenoidmulti:5, Solenoid Hub
ReactorCraft:reactorcraft_block_generatormulti:0, Generator Rotor Core
ReactorCraft:reactorcraft_block_generatormulti:1, Generator Rotor Winding
ReactorCraft:reactorcraft_block_generatormulti:2, Generator Housing
ReactorCraft:reactorcraft_block_generatormulti:3, Steam Bypass
ReactorCraft:reactorcraft_block_turbinemulti:0, Turbine Blades
ReactorCraft:reactorcraft_block_turbinemulti:1, Turbine Housing
ReactorCraft:reactorcraft_block_turbinemulti:2, Steam Injector
ReactorCraft:reactorcraft_block_flywheelmulti:0, Turbine Flywheel Core
ReactorCraft:reactorcraft_block_flywheelmulti:1, Flywheel Vibration Dampeners
ReactorCraft:reactorcraft_block_flywheelmulti:2, Turbine Flywheel Frame
ReactorCraft:reactorcraft_block_lamp:0, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:1, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:2, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:3, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:4, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:5, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:6, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:7, Yellow Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:8, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:9, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:10, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:11, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:12, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:13, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:14, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:15, Yellow Tritium Lamp
ReactorCraft:reactorcraft_block_thorium:7, Thorium Fuel
ReactorCraft:reactorcraft_block_chlorine, tile.ChlorineGas.name
ReactorCraft:reactorcraft_block_hf, tile.FluorineGas.name
RedstoneArsenal:Storage:0, Fluxed Electrum Block
RedstoneArsenal:Storage:1, Flux Crystal Block
rftools:machineFrame, Machine Frame
rftools:machineBase, Machine Base
rftools:rfMonitorBlock, RF Monitor
rftools:liquidMonitorBlock, Liquid Monitor
rftools:crafterBlock1, Crafter Tier 1
rftools:crafterBlock2, Crafter Tier 2
rftools:crafterBlock3, Crafter Tier 3
rftools:relayBlock, Power Relay
rftools:itemFilterBlock, Item Filter
rftools:dimletFilterBlock, Dimlet Filter
rftools:storageScannerBlock, Storage Scanner
rftools:machineInfuserBlock, Machine Infuser
rftools:environmentalControllerBlock, Environmental Controller
rftools:spawnerBlock, Spawner
rftools:matterBeamerBlock, Matter Beamer
rftools:volcanicCoreBlock, Volcanic Core
rftools:volcanicBlock, Volcanic Block
rftools:screenBlock, Screen
rftools:screenHitBlock, Screen
rftools:screenControllerBlock, Screen Controller
rftools:dimletResearcherBlock, Dimlet Researcher
rftools:dimletScramblerBlock, Dimlet Scrambler
rftools:dimensionEnscriberBlock, Dimension Enscriber
rftools:dimensionBuilderBlock, Dimension Builder
rftools:creativeDimensionBuilderBlock, Creative Dimension Builder
rftools:dimensionEditorBlock, Dimension Editor
rftools:dimensionMonitorBlock, Dimension Monitor
rftools:dimensionalShardBlock, Dimensional Shard Ore
rftools:dimensionalBlankBlock, Dimensional Blank Block
rftools:dimensionalBlock, Dimensional Block
rftools:dimensionalSmallBlocks, Dimensional Small Blocks
rftools:dimensionalCrossBlock, Dimensional Cross Block
rftools:dimensionalCross2Block, Dimensional Cross 2 Block
rftools:dimensionalPattern1Block, Dimensional Pattern 1 Block
rftools:dimensionalPattern2Block, Dimensional Pattern 2 Block
rftools:activityProbeBlock, Activity Probe
rftools:energyExtractorBlock, Energy Extractor
rftools:matterTransmitterBlock, Matter Transmitter
rftools:matterReceiverBlock, Matter Receiver
rftools:dialingDeviceBlock, Dialing Device
rftools:simpleDialerBlock, Simple Dialer
rftools:destinationAnalyzerBlock, Destination Analyzer
rftools:matterBoosterBlock, Matter Booster
rftools:endergenicBlock, Endergenic Generator
rftools:pearlInjectorBlock, Pearl Injector
rftools:enderMonitorBlock, Ender Monitor
rftools:sequencerBlock, Sequencer
rftools:timerBlock, Timer
rftools:counterBlock, Counter
rftools:redstoneTransmitterBlock, Redstone Transmitter
rftools:redstoneReceiverBlock, Redstone Receiver
rftools:shieldBlock, Shield Projector Tier 1
rftools:shieldBlock2, Shield Projector Tier 2
rftools:shieldBlock3, Shield Projector Tier 3
rftools:shieldBlock4, Shield Projector Tier 4
rftools:invisibleShieldBlock, Invisible Shield Block
rftools:noTickInvisibleShieldBlock, Invisible Shield Block
rftools:solidShieldBlock, Solid Shield Block
rftools:noTickolidShieldBlock, Solid Shield Block
rftools:shieldTemplateBlock:0, Shield Template
rftools:shieldTemplateBlock:1, Shield Template
rftools:shieldTemplateBlock:2, Shield Template
rftools:shieldTemplateBlock:3, Shield Template
rftools:dimletWorkbenchBlock, Dimlet Workbench
rftools:biomeAbsorberBlock, Biome Absorber
rftools:materialAbsorberBlock, Material Absorber
rftools:liquidAbsorberBlock, Liquid Absorber
rftools:timeAbsorberBlock, Time Absorber
rftools:proxyBlock, Proxy Block
rftools:spaceChamberBlock, Space Chamber Corner Block
rftools:spaceChamberControllerBlock, Space Chamber Controller Block
rftools:spaceProjectorBlock, Space Projector Block (WIP)
rftools:builderBlock, Builder Block
rftools:supportBlock, Support Block
rftools:blockProtectorBlock, Block Protector
rftools:modularStorageBlock, Modular Storage
rftools:remoteStorageBlock, Remote Storage
rftools:securityManagerBlock, Security Manager
runicdungeons:tile.runicBrick:0, Dungeon Bricks (Unbreakable)
runicdungeons:tile.runicBrick:1, Mossy Dungeon Bricks (Unbreakable)
runicdungeons:tile.runicBrick:2, Cracked Dungeon Bricks (Unbreakable)
runicdungeons:tile.runicBrick:3, Runic Dungeon Bricks (Unbreakable)
runicdungeons:tile.runicBrick:4, Mossy Runic Dungeon Bricks (Unbreakable)
runicdungeons:tile.runicBrick:5, Cracked Runic Dungeon Bricks (Unbreakable)
runicdungeons:tile.demonicBrick:0, Demonic Bricks (Unbreakable)
runicdungeons:tile.demonicBrick:1, Runic Demonic Bricks (Unbreakable)
runicdungeons:tile.survivalRunicBrick:0, Dungeon Bricks
runicdungeons:tile.survivalRunicBrick:1, Mossy Dungeon Bricks
runicdungeons:tile.survivalRunicBrick:2, Cracked Dungeon Bricks
runicdungeons:tile.survivalRunicBrick:3, Runic Dungeon Bricks
runicdungeons:tile.survivalRunicBrick:4, Mossy Runic Dungeon Bricks
runicdungeons:tile.survivalRunicBrick:5, Cracked Runic Dungeon Bricks
runicdungeons:tile.survivalDemonicBrick:0, Demonic Bricks
runicdungeons:tile.survivalDemonicBrick:1, Runic Demonic Bricks
runicdungeons:tile.obsidianRunicBrick:0, Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.obsidianRunicBrick:1, Mossy Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.obsidianRunicBrick:2, Cracked Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.obsidianRunicBrick:3, Runic Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.obsidianRunicBrick:4, Mossy Runic Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.obsidianRunicBrick:5, Cracked Runic Dungeon Bricks (Obsidian Infused)
runicdungeons:tile.witherRunicBrick:0, Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.witherRunicBrick:1, Mossy Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.witherRunicBrick:2, Cracked Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.witherRunicBrick:3, Runic Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.witherRunicBrick:4, Mossy Runic Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.witherRunicBrick:5, Cracked Runic Dungeon Bricks (WitherBoss-Proof)
runicdungeons:tile.runicLamp, Runic Lamp (Unbreakable)
runicdungeons:tile.runicPillar, Runic Pillar (Unbreakable)
runicdungeons:tile.survivalRunicLamp, Runic Lamp
runicdungeons:tile.survivalRunicPillar, Runic Pillar
runicdungeons:tile.runicGlass, Runic Glass
runicdungeons:tile.runicObsidianGlass, Runic Glass (Obsidian Infused)
runicdungeons:tile.runicKeyhole, Dungeon Keyhole
runicdungeons:tile.runeSpawner, Guardian Spawner
runicdungeons:tile.runicCircle, Mysterious Runes
runicdungeons:tile.runicCircleSmall, Mysterious Runes
runicdungeons:tile.runicCircleLarge, Mysterious Runes
runicdungeons:tile.runicPortal, Runic Dungeons Portal
runicdungeons:tile.spikeTrap, Dungeon Bricks (Unbreakable)
runicdungeons:tile.witherRunicGlass, Runic Glass (WitherBoss-Proof)
runicdungeons:tile.chaoticSand, Chaotic Sands
runicdungeons:tile.compressedObsidian, Compressed Obsidian
runicdungeons:tile.ancientBookshelf, Ancient Bookshelf
runicdungeons:tile.rottingSlab, Rotting Slab
runicdungeons:tile.rottingLadder, Rotting Ladder
runicdungeons:tile.runicSteelBlock, Runic Steel Block
runicdungeons:tile.corridorKeyhole, Dungeon Keyhole
Sanguimancy:BlockAltarDiviner, Altar Diviner
Sanguimancy:BlockAltarEmitter, Altar Emitter
Sanguimancy:BlockSacrificeTransfer, Soul Transferrer
Sanguimancy:BlockIllusion:0, Diamond Ore
Sanguimancy:BlockIllusion:1, Diamond Block
Sanguimancy:BlockIllusion:2, Glowstone
Sanguimancy:BlockIllusion:3, Netherrack
Sanguimancy:BlockIllusion:4, Nether Quartz Ore
Sanguimancy:BlockIllusion:5, End Stone
Sanguimancy:BlockIllusion:6, Pink Wool
Sanguimancy:BlockIllusion:7, Lava
Sanguimancy:BlockIllusion:8, Nether Brick
Sanguimancy:BlockIllusion:9, Bedrock
Sanguimancy:BlockIllusion:10, Obsidian
Sanguimancy:BlockIllusion:11, Glass
Sanguimancy:BlockIllusion:12, Snow
Sanguimancy:BlockIllusion:13, Melon
Sanguimancy:BlockIllusion:14, Gold Block
Sanguimancy:BlockIllusion:15, Clay
Sanguimancy:BlockCorruptionCrystallizer, Soul Corruption Crystallizer
Sanguimancy:BlockLumpCleaner, Blood Cleanser
Sanguimancy:BlockBloodTank:0, Blood Tank
Sanguimancy:BlockBloodTank:1, Blood Tank
Sanguimancy:BlockBloodTank:2, Blood Tank
Sanguimancy:BlockBloodTank:3, Blood Tank
Sanguimancy:BlockBloodTank:4, Blood Tank
Sanguimancy:BlockBloodTank:5, Blood Tank
Sanguimancy:BlockBloodTank:6, Blood Tank
Sanguimancy:BlockBloodTank:7, Blood Tank
Sanguimancy:BlockBloodTank:8, Blood Tank
Sanguimancy:BlockBloodTank:9, Blood Tank
Sanguimancy:BlockBloodTank:10, Blood Tank
Sanguimancy:BlockBloodTank:11, Blood Tank
Sanguimancy:BlockBloodTank:12, Blood Tank
Sanguimancy:BlockBloodTank:13, Blood Tank
Sanguimancy:BlockBloodTank:14, Blood Tank
Sanguimancy:BlockBloodTank:15, Blood Tank
Sanguimancy:BlockDimensionalPortal, Dimensional Gate
Sanguimancy:BlockBloodStoneStairs, Bloodstone Brick Stairs
Sanguimancy:BlockLargeBloodStoneStairs, Large Bloodstone Brick Stairs
Sanguimancy:BlockBloodStoneSlab, Bloodstone Slab
Sanguimancy:BlockLargeBloodStoneSlab, Large Bloodstone Slab
Sanguimancy:BlockItemSNPart, Item Manifestation
Sanguimancy:BlockBloodInterface, Blood Interface
Sanguimancy:BlockSimpleSoulKnot, Simple Soul Knot
Sanguimancy:BlockToggledSoulKnot, Toggled Soul Knot
Sanguimancy:BlockSimpleSoulBranch, Simple Soul Branch
Sanguimancy:BlockRitualRepresentation, Ritual Representation
Sanguimancy:BlockEthereal, Ethereal Block
Sanguimancy:BlockEtherealCorrupted, Corrupted Ethereal Block
Sanguimancy:BlockEtehrealToggled, Toggled Ethereal Block
Sanguimancy:BlockEtherealBound, Bound Ethereal Block
Sanguimancy:BlockEtherealBoundCorrupted, Bound Corrupted Ethereal Block
Sanguimancy:BlockEtherealBoundToggled, Bound Toggled Ethereal Block
Sanguimancy:BlockEtherealPersonal, Personal Ethereal Block
Sanguimancy:BlockAltarManipulator, Altar Manipulator
snad:tile.snad, Snad
SolarFlux:solar1, Solar panel I
SolarFlux:solar2, Solar panel II
SolarFlux:solar3, Solar panel III
SolarFlux:solar4, Solar panel IV
SolarFlux:solar5, Solar panel V
SolarFlux:solar6, Solar panel VI
StevesFactoryManager:BlockMachineManagerName, Machine Inventory Manager
StevesFactoryManager:BlockCableName, Inventory Cable
StevesFactoryManager:BlockCableRelayName:0, Inventory Relay
StevesFactoryManager:BlockCableRelayName:8, Advanced Inventory Relay
StevesFactoryManager:BlockCableOutputName, Redstone Emitter
StevesFactoryManager:BlockCableInputName, Redstone Receiver
StevesFactoryManager:BlockCableCreativeName, Creative Supplier
StevesFactoryManager:BlockCableIntakeName:0, Item Valve
StevesFactoryManager:BlockCableIntakeName:8, Rapid Item Valve
StevesFactoryManager:BlockCableBUDName, Block Detector
StevesFactoryManager:BlockCableBreakerName, Block Gate
StevesFactoryManager:BlockCableClusterName:0, Cable Cluster
StevesFactoryManager:BlockCableClusterName:8, Advanced Cable Cluster
StevesFactoryManager:BlockCableCamouflageName:0, Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:1, Double Sided Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:2, Transforming Cable Camouflage
StevesFactoryManager:BlockCableSignName, Sign Updater
StorageDrawers:fullDrawers1:0, Oak Drawer
StorageDrawers:fullDrawers1:1, Spruce Drawer
StorageDrawers:fullDrawers1:2, Birch Drawer
StorageDrawers:fullDrawers1:3, Jungle Drawer
StorageDrawers:fullDrawers1:4, Acacia Drawer
StorageDrawers:fullDrawers1:5, Dark Oak Drawer
StorageDrawers:fullDrawers2:0, Oak Drawers 1x2
StorageDrawers:fullDrawers2:1, Spruce Drawers 1x2
StorageDrawers:fullDrawers2:2, Birch Drawers 1x2
StorageDrawers:fullDrawers2:3, Jungle Drawers 1x2
StorageDrawers:fullDrawers2:4, Acacia Drawers 1x2
StorageDrawers:fullDrawers2:5, Dark Oak Drawers 1x2
